channel,VTP_FIRMWAREVERSION,VTP_FIRMWARETYPE,VTP_W_WIDTH,VTP_W_OFFSET,VTP_FIBER_EN_0,VTP_FIBER_EN_1,VTP_FIBER_EN_2,VTP_FIBER_EN_3,VTP_NPS_TRIG_WIDTH,VTP_NPS_TRIG_LATENCY,VTP_NPS_TRIG_PRESCALE_0,VTP_NPS_TRIG_DELAY_0,VTP_NPS_TRIG_PRESCALE_1,VTP_NPS_TRIG_DELAY_1,VTP_NPS_TRIG_PRESCALE_2,VTP_NPS_TRIG_DELAY_2,VTP_NPS_TRIG_PRESCALE_3,VTP_NPS_TRIG_DELAY_3,VTP_NPS_TRIG_PRESCALE_4,VTP_NPS_TRIG_DELAY_4,VTP_NPS_TRIG_PRESCALE_5,VTP_NPS_TRIG_DELAY_5,VTP_NPS_TRIG_PRESCALE_6,VTP_NPS_TRIG_DELAY_6,VTP_NPS_TRIG_PRESCALE_7,VTP_NPS_TRIG_DELAY_7,VTP_NPS_TRIG_PRESCALE_8,VTP_NPS_TRIG_DELAY_8,VTP_NPS_TRIG_PRESCALE_9,VTP_NPS_TRIG_DELAY_9,VTP_NPS_TRIG_PRESCALE_10,VTP_NPS_TRIG_DELAY_10,VTP_NPS_TRIG_PRESCALE_11,VTP_NPS_TRIG_DELAY_11,VTP_NPS_TRIG_PRESCALE_12,VTP_NPS_TRIG_DELAY_12,VTP_NPS_TRIG_PRESCALE_13,VTP_NPS_TRIG_DELAY_13,VTP_NPS_TRIG_PRESCALE_14,VTP_NPS_TRIG_DELAY_14,VTP_NPS_TRIG_PRESCALE_15,VTP_NPS_TRIG_DELAY_15,VTP_NPS_TRIG_PRESCALE_16,VTP_NPS_TRIG_DELAY_16,VTP_NPS_TRIG_PRESCALE_17,VTP_NPS_TRIG_DELAY_17,VTP_NPS_TRIG_PRESCALE_18,VTP_NPS_TRIG_DELAY_18,VTP_NPS_TRIG_PRESCALE_19,VTP_NPS_TRIG_DELAY_19,VTP_NPS_TRIG_PRESCALE_20,VTP_NPS_TRIG_DELAY_20,VTP_NPS_TRIG_PRESCALE_21,VTP_NPS_TRIG_DELAY_21,VTP_NPS_TRIG_PRESCALE_22,VTP_NPS_TRIG_DELAY_22,VTP_NPS_TRIG_PRESCALE_23,VTP_NPS_TRIG_DELAY_23,VTP_NPS_TRIG_PRESCALE_24,VTP_NPS_TRIG_DELAY_24,VTP_NPS_TRIG_PRESCALE_25,VTP_NPS_TRIG_DELAY_25,VTP_NPS_TRIG_PRESCALE_26,VTP_NPS_TRIG_DELAY_26,VTP_NPS_TRIG_PRESCALE_27,VTP_NPS_TRIG_DELAY_27,VTP_NPS_TRIG_PRESCALE_28,VTP_NPS_TRIG_DELAY_28,VTP_NPS_TRIG_PRESCALE_29,VTP_NPS_TRIG_DELAY_29,VTP_NPS_TRIG_PRESCALE_30,VTP_NPS_TRIG_DELAY_30,VTP_NPS_TRIG_PRESCALE_31,VTP_NPS_TRIG_DELAY_31,VTP_NPS_ECALCLUSTER_SEED_THR,VTP_NPS_ECALCLUSTER_HIT_DT,VTP_NPS_ECALCLUSTER_CLUSTER_TRIGGER_THR,VTP_NPS_ECALCLUSTER_CLUSTER_READOUT_THR,VTP_NPS_ECALCLUSTER_CLUSTER_PAIR_TRIGGER_THR,VTP_NPS_ECALCLUSTER_CLUSTER_PAIR_TRIGGER_WIDTH,VTP_NPS_ECALCLUSTER_CRATE_ID,VTP_NPS_ECALCLUSTER_NHIT_MIN,VTP_NPS_ECALCLUSTER_FADCMASK_OFFSET,VTP_NPS_ECALCLUSTER_FADCMASK_WIDTH,VTP_NPS_ECALCLUSTER_FADCMASK_PRESCALE,VTP_NPS_ECALCLUSTER_FADCMASK_MODE,VTP_NPS_ECALCLUSTER_COSMIC_SCINT_DT,VTP_NPS_ECALCLUSTER_COSMIC_COLUMN_VETO_EN,VTP_NPS_ECALCLUSTER_COSMIC_COLUMN_DT,VTP_NPS_ECALCLUSTER_COSMIC_COLUMN_MULTMIN
275,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
276,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
277,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
278,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
279,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
280,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
281,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
282,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
283,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
284,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
285,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
286,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
287,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
288,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
289,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
290,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
291,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
292,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
293,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
294,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
295,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
296,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
297,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
298,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
299,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
300,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
301,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
302,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
303,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
304,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
305,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
306,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
307,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
308,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
309,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
310,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
311,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
312,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
313,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
314,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
315,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
316,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
317,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
318,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
319,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
320,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
321,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
322,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
323,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
324,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
325,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
326,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
327,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
328,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
329,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
330,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
331,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
332,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
333,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
334,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
335,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
336,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
337,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
338,65536,20,1000,5484,1,1,1,1,20,2556,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,1600,400,800,20,2,1,248,200,0,1,7,0,4,6
